symbol,entry_time,exit_time,side,entry_price,exit_price,sl,tp,lot,reason,pnl,balance_after,probability
GBPCAD,2026-01-20 09:00:00+00:00,2026-01-21 00:00:00+00:00,SELL,1.864315,1.856315,1.868315,1.856315,0.01,TP,8.000000000000007,10048.0,0.25256505608558655
GBPAUD,2026-01-20 15:00:00+00:00,2026-01-21 08:00:00+00:00,SELL,1.998425,1.9904249999999999,2.0024249999999997,1.9904249999999999,0.01,TP,8.000000000000007,10056.0,0.24509525299072266
GBPUSD,2026-01-21 00:00:00+00:00,2026-01-22 17:00:00+00:00,SELL,1.3437700000000001,1.3477700000000001,1.3477700000000001,1.3357700000000001,0.01,SL,-4.0000000000000036,10052.0,0.26179039478302
GBPAUD,2026-01-22 17:00:00+00:00,2026-01-23 11:00:00+00:00,SELL,1.9741849999999999,1.9781849999999999,1.9781849999999999,1.9661849999999998,0.01,SL,-4.0000000000000036,10048.0,0.2376602739095688
EURCAD,2026-01-21 08:00:00+00:00,2026-01-26 00:00:00+00:00,SELL,1.621145,1.625145,1.625145,1.613145,0.01,SL,-4.0000000000000036,10044.0,0.24831824004650116
GBPAUD,2026-01-23 11:00:00+00:00,2026-01-28 00:00:00+00:00,SELL,1.9775749999999999,1.9695749999999999,1.9815749999999999,1.9695749999999999,0.01,TP,8.000000000000007,10052.0,0.23380409181118011
EURJPY,2026-01-28 00:00:00+00:00,2026-01-28 14:00:00+00:00,SELL,183.407,182.607,183.80700000000002,182.607,0.01,TP,800.0000000000114,10852.000000000011,0.24195681512355804
GBPUSD,2026-01-28 14:00:00+00:00,2026-01-29 02:00:00+00:00,SELL,1.3793199999999999,1.3833199999999999,1.3833199999999999,1.3713199999999999,0.01,SL,-4.0000000000000036,10848.000000000011,0.2285057008266449
GBPUSD,2026-01-29 02:00:00+00:00,2026-01-30 04:00:00+00:00,SELL,1.38202,1.37402,1.38602,1.37402,0.01,TP,8.000000000000007,10856.000000000011,0.21571756899356842
GBPUSD,2026-01-30 04:00:00+00:00,2026-01-30 20:00:00+00:00,SELL,1.37619,1.36819,1.38019,1.36819,0.01,TP,8.000000000000007,10864.000000000011,0.2320811152458191
